reaction_split,split_type,split_level,Symptom_ID,Symptom,Observation,Hypothesis,Experiment,additional_details,representative_entries,source_json,n_entries
Hydroamination,reaction_class,3,5,Gas-evolution / mass-transfer limitation,Low conversion or over-hydrogenation linked to insufficient gas-liquid mass transfer; pressure spikes during rapid H₂ uptake.,"pressure_or_gas_headspace_optimization, gas_evolution_or_mass_transfer_management, solvent_change_for_solubility, temperature_setpoint_or_temperature_ramp_optimization - Increasing system pressure raises H₂ solubility; using solvents with higher H₂ affinity (MeOH, MeTHF) or raising temperature modestly improves mass transfer; adding a gas-liquid mixing device (oscillatory baffled reactor) balances conversion and catalyst stability.","A pressure-screen (1-5 bar) in a continuous oscillatory baffled reactor showed conversion of 3-butyn-2-ol rising from 60 % at 2 bar to >95 % at 5 bar, with selectivity retained when residence time was held constant (entry 7096). The optimal pressure was adopted for scale-up, and a back-pressure regulator prevented pressure spikes during hydrogen feed surges.","For reactions where H₂ is generated in-situ (e.g., transfer-hydrogenation, entry 8450), vented reactors and controlled addition of the hydrogen donor avoid uncontrolled pressure build-up.","7096, 9049",scaleup_generalized_workflow_reaction_class_Hydroamination_runreaction_class_r17.json,139
Ketone to alcohol reduction,reaction_class,3,1,Viscous / heterogeneous slurry -> poor mixing,"The reaction mixture becomes thick, slurry-like, or forms a biphasic emulsion that is difficult to stir uniformly.","change_of_additive, improved_mixing_or_impeller_design, solvent_change_for_solubility - add a low-shear impeller or adjust cosolvent composition to lower viscosity; pre-mix enzyme in buffer before substrate addition; use a co-solvent that keeps the substrate in solution without excessive solids.","A Design-of-Experiments (DoE) study varying agitation speed (100 - 500 rpm), impeller type (turbine vs. pitched-blade), and cosolvent % (5 % v/v DMSO, 10 % v/v MTBE). Reaction conversion and temperature profiles were monitored at 10 g L⁻¹ and 80 g L⁻¹ substrate loadings. The optimal condition (350 rpm, pitched-blade, 5 % v/v DMSO) restored >95 % conversion and eliminated emulsion formation.",Viscosity spikes are more pronounced on >30 L scale; the chosen impeller also reduces foaming. Pre-dissolving the substrate in a minimal amount of organic cosolvent before addition to the aqueous phase helps keep the mixture homogeneous.,"16858, 6825, 17005, 17424",scaleup_generalized_workflow_reaction_class_Ketone_to_alcohol_reduction_runreaction_class_r12.json,239
Ketone to alcohol reduction,reaction_class,3,2,Exothermic addition -> temperature spikes,"Rapid temperature rise (10 - 30 °C) is observed when a solid hydride (NaBH₄, Na-selectride) or silane is added, sometimes accompanied by vigorous H₂ evolution.","temperature_setpoint_or_temperature_ramp_optimization, change_of_addition_order_or_feed_profile, gas_evolution_or_mass_transfer_management - slow, portion-wise addition under temperature control; use external cooling; switch to less exothermic reagents when possible.","A calorimetric study measured the adiabatic temperature rise for NaBH₄ addition to ketone 13. The addition was split into four equal portions over 30 min while the reactor jacket maintained 0 °C. Temperature was kept <=5 °C throughout, eliminating product degradation. Parallel runs with Na-selectride showed that switching to K-selectride (same stoichiometry) reduced the peak temperature by ~8 °C.","A nitrogen sweep over the addition zone safely vents H₂. For silane reductions, the silane was added dropwise with an ice-bath jacket. Maintaining the temperature below the identified safety threshold (e.g., <=10 °C) is critical for scale-up.","17896, 14330, 16861, 14333, 16862",scaleup_generalized_workflow_reaction_class_Ketone_to_alcohol_reduction_runreaction_class_r12.json,239
Ketone to alcohol reduction,reaction_class,3,3,Substrate / product solubility limits conversion,"At the target substrate concentration the reaction stalls (<=70 % conversion) or the product remains dissolved in the reaction medium, leading to material loss during work-up.","solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition, phase_behavior_or_biphasic_system_optimization - introduce a water-miscible cosolvent (e.g., IPA, MTBE, DMSO) at a level that improves substrate dissolution while preserving enzyme activity; or switch to a biphasic system with a suitable organic phase.","Screened cosolvents (IPA, MTBE, MeTHF, CPME) at 5 - 30 % v/v for the reduction of 2-chloro-1-(2,4-dichlorophenyl)-ethanone (entry 2398). 70 % v/v isopropanol gave >99 % conversion, whereas 10 % v/v gave only 68 %. For the fluoroketone DKR (entry 251), switching the work-up solvent from 2-MeTHF to EtOAc reduced product loss from 12 % to <3 %.","When using high cosolvent percentages, enzyme stability must be re-validated (e.g., KRED - KRED-X tolerates up to 15 % v/v MTBE). For highly soluble products, antisolvent precipitation (e.g., EtOAc/toluene) can be employed to recover product efficiently.","2398, 251",scaleup_generalized_workflow_reaction_class_Ketone_to_alcohol_reduction_runreaction_class_r12.json,239
Ketone to alcohol reduction,reaction_class,3,4,pH drift during biocatalysis,"The reaction pH gradually falls (or rises) by >0.5 units over the course of the run, often correlating with loss of conversion.","optimization_of_acid_or_base_stoichiometry, change_of_additive, automation_of_pH_control - implement automated base (e.g., 2 M Na₂CO₃) dosing to maintain target pH; reduce glucose loading; or replace glucose with a non-acid-generating sacrificial reductant.","A fed-batch experiment on the KRED-119 kinetic resolution (entry 17424) compared three strategies: (i) no pH control, (ii) manual addition of Na₂CO₃ every hour, (iii) automated pH-feedback loop dosing 2 M Na₂CO₃. Strategy iii kept pH 6.8 ± 0.1 unit and restored full conversion (>99 %) whereas the uncontrolled run stalled at 45 % conversion after 30 min.","The base addition rate must be low enough to avoid enzyme inhibition (<=0.5 % v/v Na₂CO₃ per hour). For glucose-based systems, a lower glucose equivalence (1.0 eq instead of 2.0 eq) reduces acid generation without compromising co-factor recycling.",17424,scaleup_generalized_workflow_reaction_class_Ketone_to_alcohol_reduction_runreaction_class_r12.json,239
Ketone to alcohol reduction,reaction_class,3,5,Enzyme activity loss / variability,"Repeated batches or prolonged reactions show a rapid decline in conversion (e.g., from >95 % to <50 %) or large batch-to-batch variability in product yield.","change_of_catalyst_or_ligand_identity, optimization_of_catalyst_loading, change_of_additive, improved_mixing_or_impeller_design - switch to a more robust enzyme variant or immobilisation support; increase catalyst loading to compensate for activity loss; add stabilising additives (e.g., glycerol, protective salts); improve reactor hardware to avoid pressure spikes.","A comparative study on Na-selectride reductions (entry 8375) screened three commercial batches of Na-selectride. Batch A gave dr = 20:1, batch B gave dr = 1:1. The low-dr batch was replaced with K-selectride (same stoichiometry) and the reaction was re-run, achieving dr = 5:1 and >90 % isolated yield. For the KRED-9 packed-bed (entry 14560), switching from CEP to LX1000HA beads eliminated back-pressure and maintained >99 % conversion over 64 h continuous operation.","Enzyme storage temperature and buffer composition (e.g., inclusion of 0.1 M phosphate, pH 7.0) are critical for long-term stability. When using whole-cell biocatalysts, keeping the cell density <=50 % wt / vol prevents mass-transfer limitations that accelerate deactivation.","14560, 14561, 14562, 14563",scaleup_generalized_workflow_reaction_class_Ketone_to_alcohol_reduction_runreaction_class_r12.json,239
N-Boc deprotection,reaction_class,3,1,Acid-strength loss,Conversion drops after the first few hours of reaction; the deprotection is incomplete unless extra HCl equivalents are added or the HCl solution is freshly titrated.,"change_of_primary_reagent, change_of_acid, optimization_of_acid_or_base_stoichiometry, replacement_of_costly_or_low_purity_reagent - replace the unstable methanolic HCl with a more robust acid source (e.g., ethanolic HCl, aqueous HCl, or a solid acid) and/or re-titrate the acid immediately before use to guarantee the required stoichiometry.","* Conduct a DoE screening of acid sources (4 M MeOH HCl, 5 M EtOH HCl, 4 N HCl in dioxane, aqueous 4 M HCl) at a fixed substrate loading. 
* For each source, measure the residual Boc-protected material after a fixed reaction time (2 h, 50 °C). 
* Include a ""fresh-titrate"" control where the HCl solution is titrated with a base just before dosing. 
* Select the acid that gives >= 98 % deprotection with the lowest excess.","The symptom is most common when the acid is generated in-situ (e.g., bubbling HCl into MeOH) or stored for > 24 h. Temperature control (0-5 °C storage) also mitigates decomposition.","13008, 13011, 13009, 13010",scaleup_generalized_workflow_reaction_class_N-Boc_deprotection_runreaction_class_r13.json,212
N-Boc deprotection,reaction_class,3,2,Viscous slurry / poor mixing,"During scale-up the reaction mixture becomes thick, forms a slurry or ""gel-like"" phase, and the agitator barely submerges; stirring power is insufficient and the reaction stalls.","solvent_change_for_solubility, improved_mixing_or_impeller_design, custom_or_novel_reactor_design, phase_behavior_or_biphasic_system_optimization - switch to a solvent/co-solvent that keeps the reaction homogeneous (e.g., add a small amount of THF or MeCN), redesign the agitator (high-speed pitched-blade impeller) or employ a modular flow train with short mixing zones to avoid dead volumes.","* Perform a solvent-screen (MeOH, EtOH, MeCN, THF, MeOH/THF 9:1) at constant acid loading, monitoring viscosity (rheometer) and conversion. 
* Parallelly test mixing hardware: standard Rushton turbine vs. high-speed pitched-blade impeller in a 100 L jacketed reactor. 
* In flow, compare a single-coil reactor vs. a modular train with inline static mixers. Choose the combination that yields < 10 % viscosity increase and >= 95 % conversion.","Viscosity issues are often observed with 4 M methanolic HCl (entry 13010) and with high substrate concentrations. Adding a co-solvent (THF, MeCN) at <= 10 % v/v is usually sufficient to restore fluidity without compromising acid strength.","13010, 13008, 1677, 1676, 1675, 1679, 1678",scaleup_generalized_workflow_reaction_class_N-Boc_deprotection_runreaction_class_r13.json,212
N-Boc deprotection,reaction_class,3,3,Gas-evolution pressure spikes,"Rapid evolution of CO₂ (or HCl) creates a sudden pressure rise in the reactor; venting or back-pressure regulators are overloaded, and temperature spikes are recorded.","gas_evolution_or_mass_transfer_management, pressure_or_gas_headspace_optimization, improved_heat_transfer_or_temperature_control_hardware, improved_mixing_or_impeller_design - install a controlled gas-venting system (e.g., back-pressure regulator set to appropriate pressure, gas-sparge line), use a reactor with sufficient headspace, and/or increase heat-transfer surface area to dissipate exotherms.","* Run the deprotection in a pilot-scale batch reactor equipped with a pressure-rated vent line and a back-pressure regulator set at 5 bar. 
* Measure pressure profiles with and without a gas-sparge (N₂) and with different residence times. 
* In flow, compare a stainless-steel coil (high surface-to-volume) vs. a PFA coil at identical temperature, monitoring pressure and temperature spikes. 
* Select the configuration that keeps pressure < 6 bar and temperature deviation < 2 °C.","The symptom is documented for MeOH-based flow deprotections at 150-230 °C (entries 1667, 1669, 1668) and for high-temperature batch runs (entries 1664, 1665). Proper venting also reduces the risk of over-pressurisation when using gaseous HCl.","1667, 1669, 1668, 1664, 1665, 1663, 1666",scaleup_generalized_workflow_reaction_class_N-Boc_deprotection_runreaction_class_r13.json,212
N-Boc deprotection,reaction_class,3,4,Impurity surge at high temperature,"When the reaction temperature exceeds a certain threshold (e.g., > 180 °C), new impurity peaks appear in HPLC/LC-MS (dark coloration, side-products such as hemiaminals, ureas, or cyclisation products), and isolated yield drops sharply.","temperature_setpoint_or_temperature_ramp_optimization, change_of_additive, optimization_of_reagent_stoichiometry, change_of_catalyst_or_ligand_identity - lower the deprotection temperature or implement a controlled ramp, add scavengers or weaker bases to suppress side reactions, and adjust reagent equivalents to minimise over-exposure.","* Conduct a temperature-ramp study (120 °C -> 200 °C, 10 °C increments) while keeping residence time constant. 
* Quantify impurity levels (e.g., impurity D, hemiaminal, urea) at each temperature. 
* Test the addition of a mild base (2,6-lutidine) or an additive (ascorbic acid) to suppress oxidation. 
* Choose the lowest temperature that still gives >= 95 % conversion with impurity < 0.1 %.","Entries 1664, 1665, 1666, 1668, 1670, 1678, 1679 illustrate that temperatures above 180 °C generate dark coloration and low yields. A modest temperature reduction (e.g., 180 °C -> 150 °C) combined with a longer residence often restores yield without impurity formation.","1664, 1665, 1666, 1668, 1670, 1678, 1679",scaleup_generalized_workflow_reaction_class_N-Boc_deprotection_runreaction_class_r13.json,212
N-Boc deprotection,reaction_class,3,5,Solubility-driven precipitation / filtration fouling,After deprotection the product precipitates as a fine solid or forms a slurry that clogs filters; filtration rates drop dramatically and the cake retains large amounts of mother liquor.,"solvent_change_for_solubility, crystallization_solvent_or_antisolvent_optimization, drying_or_isolation_process_optimization, solvent_system_optimization_or_cosolvent_addition - adjust the solvent or add an antisolvent to control nucleation, use a co-solvent to keep the product in solution until a controlled precipitation step, and optimise filtration/drying parameters.","* Perform a solvent-swap study: after deprotection, dilute the reaction mixture with EtOAc, MeCN, or isopropanol, then add a non-solvent (heptane, MTBE, isopropyl ether) in varying ratios. 
* Measure particle size distribution (laser diffraction) and filtration rate (pressure drop). 
* Identify the antisolvent volume that yields a filterable cake with >= 90 % recovery. 
* Validate the chosen crystallisation/filtration protocol on a pilot-scale batch.","Typical problematic cases are entries 1664 (poor solubility of alkyl N-Boc amines in THF/toluene), 1665 (viscous slurry in MeOH), 1666 (precipitation of product in ethanol), and 1667 (solid formation in THF/H₂O stream). Adding a small amount of a polar co-solvent (MeCN, MeOH) before antisolvent addition often prevents fouling.","1664, 1665, 1666, 1667, 1668, 1669, 1670",scaleup_generalized_workflow_reaction_class_N-Boc_deprotection_runreaction_class_r13.json,212
Nitro to amino,reaction_class,3,1,Gas-evolution / pressure spikes,"Sudden release of CO₂, H₂ or other gases (e.g., during sodium dithionite reductions) that causes a rapid rise in reactor pressure or formation of bubbles that block flow channels.","gas_evolution_or_mass_transfer_management, clogging_or_fouling_mitigation, temperature_setpoint_or_temperature_ramp_optimization - controlling the rate of gas formation, providing venting or gas-liquid separation, and limiting temperature spikes will suppress pressure spikes and prevent blockage.","* Conduct a small-scale kinetic study varying the addition rate of the dithionite (or other gas-forming reagent) while monitoring pressure in a sealed, instrumented reactor. 
* Install a vent line with a scrubber and test different vent-flow rates. 
* Compare batch vs. continuous-flow operation with a static-mixing segment that shortens residence time of the gas-rich zone.","* Gas-evolution is especially problematic in high-temperature transfer-hydrogenations (e.g., CuNPs/Celite, Cu-mediated reductions) and in electrochemical cells where H₂ evolution occurs at the cathode. 
* Adding a base (e.g., Na₂CO₃) or buffering the medium can dampen CO₂ release. 
* Selecting a reductant that does not generate gas (e.g., Na₂SO₃ instead of Na₂S₂O₄) is often the most robust solution.",8689,scaleup_generalized_workflow_reaction_class_Nitro_to_amino_runreaction_class_r9.json,250
Nitro to amino,reaction_class,3,2,High-viscosity / slurry formation,"The reaction mixture becomes a thick, non-Newtonian slurry (e.g., glycerol-based systems, solid-laden Zn reductions) that overloads pumps, causes motor stalls, or leads to uneven mixing.","solvent_change_for_solubility, improved_mixing_or_impeller_design, solvent_system_optimization_or_cosolvent_addition - switching to a lower-viscosity solvent or adding a co-solvent, and upgrading impeller geometry will restore Newtonian flow and homogeneous mixing.","* Perform a DoE screening of solvent/co-solvent ratios (e.g., EG : DMA, glycerol : EG) measuring torque on a pilot-scale agitator. 
* Test a high-speed pitched-blade impeller versus a standard Rushton turbine at identical rpm. 
* Evaluate residence-time distribution (RTD) in a flow loop with the new solvent system.","* Viscosity issues are often substrate-specific; for nitro-aryl substrates bearing bulky substituents, EG alone may be too viscous, whereas a 5 % DMA co-solvent dramatically reduces torque. 
* In some cases, replacing a solid reductant (Zn powder) with a soluble inorganic reductant (Na₂SO₃) eliminates the slurry altogether.",8689,scaleup_generalized_workflow_reaction_class_Nitro_to_amino_runreaction_class_r9.json,250
Nitro to amino,reaction_class,3,3,Exothermic temperature spikes / hot spots,"Rapid temperature rise (often > 30 °C within minutes) observed during addition of reagents (e.g., B₂(OH)₄, Zn powder) or during high-pressure hydrogenations, sometimes exceeding the set-point by > 10 °C.","temperature_setpoint_or_temperature_ramp_optimization, improved_heat_transfer_or_temperature_control_hardware - staged addition at low temperature, external heat exchangers, and precise temperature feedback will keep the reaction isothermal.","* Implement a split-addition protocol (three equal portions over 30 min) while measuring temperature with an inline thermocouple. 
* Install a jacketed reactor with a PID-controlled coolant loop; compare temperature profiles with and without the jacket. 
* Use calorimetric data to calculate the adiabatic temperature rise and size the cooling duty accordingly.","* For highly exothermic nitro reductions (ΔH ~ -560 kJ mol⁻¹), a 10 % catalyst loading reduction can also lower the heat-generation rate. 
* In flow, a micro-packed-bed reactor with high surface-to-volume ratio often mitigates hot spots, but only if the gas-liquid mass-transfer is sufficient.","60, 3860",scaleup_generalized_workflow_reaction_class_Nitro_to_amino_runreaction_class_r9.json,250
Nitro to amino,reaction_class,3,4,Catalyst deactivation / batch-to-batch variability,"Significant drift in conversion or impurity profile between nominally identical runs (e.g., 5 % Pd/C batches giving 92 % vs 99 % conversion; Ni/SiO₂ losing activity after 20 h).","optimization_of_catalyst_loading, change_of_catalyst_or_ligand_identity, improved_impurity_purge_or_byproduct_control - adjusting catalyst loading to the minimum effective level, switching to a more stable catalyst formulation, and implementing routine activity checks will stabilize performance.","* Run a systematic DoE varying catalyst loading (0.05 % -> 0.5 % wt) and measure conversion after a fixed residence time. 
* Perform ICP-MS on spent catalyst to quantify metal leaching; correlate with activity loss. 
* Introduce a short ""pre-conditioning"" run (e.g., 5 min at high temperature) before each production batch to regenerate the catalyst surface.","* For Ni/SiO₂, particle size >= 500 µm reduces pressure drop and improves longevity. 
* In heterogeneous metal-nanoparticle systems (Fe/ppm Pd), freshly prepared nanoparticles give reproducible activity, whereas aged batches show > 5 % variability.","4271, 5555",scaleup_generalized_workflow_reaction_class_Nitro_to_amino_runreaction_class_r9.json,250
Nitro to amino,reaction_class,3,5,Excessive pressure drop / flow restriction,"Unusually high pressure drop across the catalyst bed (e.g., > 5 bar in a 100 µm Pd/C packed column) leading to flow-rate throttling or reactor shutdown.","custom_or_novel_reactor_design, pressure_or_gas_headspace_optimization, change_of_catalyst_or_ligand_identity - moving to larger particle catalysts (200 µm), redesigning the reactor geometry (e.g., wider diameter, shorter bed), or operating at lower inlet pressure will alleviate the pressure drop.","* Compare pressure profiles for 100 µm vs 200 µm Pd/C in identical column dimensions. 
* Conduct CFD simulations of gas-liquid flow in a micropacked-bed to identify optimal particle-to-tube diameter ratios. 
* Test a staged-bed configuration (coarse upstream, fine downstream) to balance conversion and pressure drop.","* In continuous-flow hydrogenations of nitro-substituted aromatics, switching to 200 µm catalyst particles restored linear scalability up to 300 kg day⁻¹. 
* Adjusting the back-pressure regulator to a lower set-point (e.g., 20 psi) while increasing catalyst loading can keep the overall pressure within safe limits.",10889,scaleup_generalized_workflow_reaction_class_Nitro_to_amino_runreaction_class_r9.json,250
Other separation,reaction_class,3,1,Unexpected temperature spike / exotherm,Temperature rises above the set-point (often > 5 °C) during reagent addition or reaction progression.,"temperature_setpoint_or_temperature_ramp_optimization, improved_heat_transfer_or_temperature_control_hardware, change_of_primary_reagent - controlling addition rate, improving heat removal, or replacing the exothermic reagent can damp the heat release.","Perform a DoE on addition rate, cooling-jacket flow, and inlet temperature; monitor temperature profiles in a pilot-scale reactor. If the peak exceeds the safety limit, test a less-exothermic reagent (e.g., replace HBr with HCl, Et₂O with THF, or switch to a milder oxidant).",Exotherms are often hidden at lab scale because the reaction mass is small; on kilogram scale the same stoichiometry can generate 10-30 kJ . mol⁻¹ of heat. Early calorimetry and a controlled-addition protocol are essential.,"15895, 453, 14803, 1320, 14982",scaleup_generalized_workflow_reaction_class_Other_separation_runreaction_class_r2.json,250
Other separation,reaction_class,3,2,Highly viscous or gel-like slurry that resists stirring,"The reaction mixture becomes thick, non-flowing, or forms a gel; impeller torque spikes and filtration slows dramatically.","solvent_change_for_solubility, change_of_addition_order_or_feed_profile, improved_mixing_or_impeller_design - switching to a solvent that fully dissolves the problematic species, altering the addition sequence, or upgrading the agitator can restore fluidity.","Screen a small solvent panel (e.g., IPA -> 2-MeTHF, MeCN -> acetone) at 1 L scale while measuring viscosity. If a solvent gives a clear solution, repeat the reaction with that solvent and a standard impeller; compare torque and filtration time.","Viscosity issues often correlate with temperature; a modest temperature increase can improve solubility but may introduce safety concerns, so the solvent change is usually preferred.","8658, 480, 21332",scaleup_generalized_workflow_reaction_class_Other_separation_runreaction_class_r2.json,250
Other separation,reaction_class,3,3,Phase-breakup or emulsion formation during liquid-liquid extraction,"During biphasic work-up the two liquid phases intermix, forming a stable emulsion; product partitions into the undesired phase or is lost in the interphase.","phase_behavior_or_biphasic_system_optimization, solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition - adjusting pH, adding a co-solvent or surfactant, or swapping to a less-miscible organic solvent can sharpen the phase boundary and improve partitioning.","Run a series of small-scale extractions varying pH (e.g., NaHCO₃ 0.1 M vs. 0.5 M) and organic solvent (EtOAc, MTBE, 1-octanol). Measure phase-breakup time and product distribution. Implement the optimal pH/solvent combo in a pilot-scale continuous extractor and monitor phase disengagement.",Emulsion stability often increases with temperature; maintaining the extraction temperature below the solvent's cloud point helps.,"9146, 14084, 14078",scaleup_generalized_workflow_reaction_class_Other_separation_runreaction_class_r2.json,250
Other separation,reaction_class,3,4,Clogging or fouling of reactors/flow channels,"Solid particles or precipitates accumulate in the reactor or tubing, causing pressure spikes, flow interruptions, or complete blockage.","clogging_or_fouling_mitigation, solvent_change_for_solubility, custom_or_novel_reactor_design - redesigning the reactor geometry, adding a solvent that keeps solids in suspension, or installing a back-pressure regulator with a filtration module can prevent blockage.","Introduce a small inline filter (e.g., 50 µm mesh) upstream of the reactor and compare pressure profiles with and without a co-solvent that solubilises the solid (e.g., adding MeOH to a THF-based slurry). Record the time to blockage at pilot scale.","Periodic ""scrape-off"" or pulse-flow cleaning cycles are effective for processes that inevitably generate solids.","3310, 11992",scaleup_generalized_workflow_reaction_class_Other_separation_runreaction_class_r2.json,250
Other separation,reaction_class,3,5,Inconsistent crystal size or seed performance leading to variable yields,"Batch-to-batch particle-size distribution (PSD) varies widely; seed loading gives unpredictable nucleation, causing yield drift or off-spec polymorphs.","crystallization_solvent_or_antisolvent_optimization, temperature_setpoint_or_temperature_ramp_optimization, optimization_of_reagent_stoichiometry - fine-tuning solvent/antisolvent ratios, cooling rates, and seed amount can lock the supersaturation profile and produce reproducible crystals.","Conduct a Design-of-Experiments varying cooling rate (0.1-1 °C min⁻¹), antisolvent addition rate (4-20 mL min⁻¹), and seed loading (0.5-5 wt %). Use in-line Raman or FBRM to monitor nucleation events and select the region that yields a narrow PSD and target polymorph.","Even with a fixed seed, the crystal habit can shift if the solvent composition drifts; maintaining tight control of solvent composition (e.g., water content) is critical.","16753, 17085, 2929",scaleup_generalized_workflow_reaction_class_Other_separation_runreaction_class_r2.json,250
Racemization,reaction_class,3,1,conversion variability,"Batch-to-batch conversion swings (e.g., 70 % -> 95 %) despite identical charge-up.","optimization_of_catalyst_loading, optimization_of_acid_or_base_stoichiometry, change_of_base - fixing the effective base/acid loading or swapping to a base with a more reliable pKₐ in the chosen solvent removes the source of variability.","* Conduct a small DoE varying base equivalents (0.95-1.10 eq) and temperature
ramp profiles (20 °C -> 50 °C vs. isothermal). 
* Measure conversion at 5 min, 15 min, 30 min on 100 g and 5 kg batches. 
* Select the combination that gives <2 % conversion spread; lock the base
loading in the kinetic model.","The issue is most acute for slurry-to-slurry free-basing (Et₃N/THF) and for
reactions where the pKₐ shift in organic media differs from aqueous values.
Even a 0.05 eq excess of base can over-compensate; undershooting leads to
incomplete de-protonation and downstream low yields.","13314, 479, 13315, 13313, 13312",scaleup_generalized_workflow_reaction_class_Racemization_runreaction_class_r22.json,114
Racemization,reaction_class,3,2,heterogeneous slurry / poor solubility,"Visible solid suspensions, ""slurry-to-slurry"" mixtures, or incomplete dissolution of one reactant.","solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition,
slurry_handling_or_particle_size_optimization - switching to a solvent or
co-solvent that fully dissolves all solids, or adjusting slurry volume and
agitation, restores homogeneous reaction conditions.","* Screen a solvent matrix (THF, MeCN, i-PrOH, CH₂Cl₂, water/MeCN) on 10 mmol
scale, measuring solubility limits and conversion. 
* Scale the best solvent to 1 kg, increase agitation speed, and monitor
particle size distribution if a slurry remains. 
* Implement the chosen solvent/co-solvent blend for pilot runs.","Typical offenders are the amino-alcohol hydrochloride (2.HCl), dichloro-quinoline,
and diosgenin. Small changes (e.g., adding 1 vol % MeCN to THF) can turn a
heterogeneous slurry into a clear solution, dramatically improving kinetic
reproducibility.","13311, 9885, 11919, 11229, 9888",scaleup_generalized_workflow_reaction_class_Racemization_runreaction_class_r22.json,114
Racemization,reaction_class,3,3,temperature spikes / exotherm,"Sudden bulk temperature rise (>=10 °C) during reagent addition, often accompanied by pressure increase.","change_of_addition_order_or_feed_profile, temperature_setpoint_or_temperature_ramp_optimization,
improved_heat_transfer_or_temperature_control_hardware - slowing the feed,
pre-cooling reagents, and upgrading the jacket or adding internal coils spreads the heat release.","* Perform a calorimetric study of the exothermic addition on 100 g scale to
determine heat-of-reaction (kJ mol⁻¹). 
* Design a semi-batch feed (e.g., DPPA added over 2 h at 13-17 °C) and test
on 1 kg with a jacketed reactor equipped with a coil. 
* Record temperature profiles and compare conversion/ee to a fast-addition run.","Even when the reaction is nominally ""cold-addition"", scale-up can raise the
overall heat load (more mass, larger surface area). A controlled ramp (20 °C->50 °C) can also mitigate variability for base-mediated equilibria.","21659, 3105, 15875, 13315",scaleup_generalized_workflow_reaction_class_Racemization_runreaction_class_r22.json,114
Racemization,reaction_class,3,4,electrode fouling / voltage rise,"Gradual increase of cell voltage (e.g., from 5 V to >12 V) and drop in current efficiency during electro-chemical C-N coupling.","change_of_base, change_of_additive, clogging_or_fouling_mitigation - selecting a weaker, non-nucleophilic base (KOPiv) or adding a sacrificial additive reduces deposit formation; periodic acid washes or switching to dimensionally stable anodes mitigates fouling.","* Run a comparative batch electrolysis at 0.5 mmol scale using TMG, NaOMe, and KOPiv as bases; monitor voltage vs. time. 
* Implement a cleaning protocol (10 % aq. HCl rinse) after each 8 h run on a 5 kg loop. 
* Test alternative anode material (Ir/Ta-MOX) for durability over 100 h continuous operation.","Fouling is especially evident when the substrate or base decomposes under the applied current (e.g., TMG). Switching to KOPiv not only lowers fouling but also improves overall yield. Routine electrode regeneration is essential for long-run processes.","15864, 15868, 15872, 15866, 15871",scaleup_generalized_workflow_reaction_class_Racemization_runreaction_class_r22.json,114
Racemization,reaction_class,3,5,impurity buildup with long residence,"Increasing impurity peaks (decomposition products, side-products) as reaction time exceeds a critical threshold (e.g., >24 h).","hold_time_or_residence_time_optimization, improved_impurity_purge_or_byproduct_control,
temperature_setpoint_or_temperature_ramp_optimization - defining a precise stop-time,
lowering temperature, or adding a scavenger limits impurity formation while preserving conversion.","* Conduct time-course studies (6, 12, 18, 24 h) at 130 °C for the DCQ + HNDA SNAr, monitoring impurity profile by qNMR. 
* Identify the time where conversion plateaus (~99 %) and stop the reaction. 
* Validate on 5 kg batch with in-process sampling; compare impurity levels to a 48 h run.","Impurities often arise from catalyst decomposition (e.g., F-phenol >130 °C) or solvent degradation (DMSO at high temperature). Tight residence-time control is a low-cost lever to improve API-grade purity.","9888, 9894, 9891, 9883, 9895",scaleup_generalized_workflow_reaction_class_Racemization_runreaction_class_r22.json,114
Ring closing olefin metathesis,reaction_class,3,1,Temperature spike,Sudden rise in reactor temperature (>= 30 °C jump) when a reagent or catalyst is added rapidly.,"temperature_setpoint_or_temperature_ramp_optimization, change_of_addition_order_or_feed_profile, improved_heat_transfer_or_temperature_control_hardware - slowing the feed, pre-cooling the stream, or upgrading the jacket can damp the temperature surge and protect the catalyst.","Design a DoE varying (i) addition rate (slow vs fast), (ii) feed-line temperature (ambient vs -20 °C), and (iii) jacket set-point (± 5 °C). Monitor temperature profiles, conversion, and impurity formation. Select the combination that keeps the temperature rise < 5 °C and restores yield.",The effect magnifies with larger reactor volumes because the surface-to-volume heat-removal ratio drops. Early implementation of a temperature-controlled feed line is more robust than post-hoc cooling.,"14040, 15552",scaleup_generalized_workflow_reaction_class_Ring_closing_olefin_metathesis_runreaction_class_r8.json,250
